Tag	Timestamp	Timestamp.loc	date	day	rhour	x	y	ClosestRoost
1	9-1-2013 08:30	9-1-2013 07:30	9-1-2013	36	7.5	364978.5	2199140.5	3
1	9-1-2013 09:00	9-1-2013 08:00	9-1-2013	36	8	364812.9375	2197970.5	1
1	9-1-2013 09:30	9-1-2013 08:30	9-1-2013	36	8.5	364756.0938	2197877.25	1
1	9-1-2013 10:00	9-1-2013 09:00	9-1-2013	36	9	364632.6875	2197776.25	1
1	9-1-2013 10:30	9-1-2013 09:30	9-1-2013	36	9.5	364596.875	2197639	1
1	9-1-2013 11:00	9-1-2013 10:00	9-1-2013	36	10	364558.3438	2197638	1
1	9-1-2013 11:30	9-1-2013 10:30	9-1-2013	36	10.5	364487.5938	2197281.5	1
1	9-1-2013 12:00	9-1-2013 11:00	9-1-2013	36	11	364490.6875	2197245	1
1	9-1-2013 12:30	9-1-2013 11:30	9-1-2013	36	11.5	364482.9688	2197238.75	1
1	9-1-2013 13:00	9-1-2013 12:00	9-1-2013	36	12	364407.6563	2197706	1
1	9-1-2013 13:30	9-1-2013 12:30	9-1-2013	36	12.5	364408.4063	2197702.75	1
1	9-1-2013 14:00	9-1-2013 13:00	9-1-2013	36	13	364420.7656	2197640.25	1
1	9-1-2013 14:30	9-1-2013 13:30	9-1-2013	36	13.5	364558.5625	2197695.25	1
1	9-1-2013 15:00	9-1-2013 14:00	9-1-2013	36	14	364558.625	2197719	1
1	9-1-2013 15:30	9-1-2013 14:30	9-1-2013	36	14.5	364671.3281	2197877.25	1
1	9-1-2013 16:00	9-1-2013 15:00	9-1-2013	36	15	364344.8125	2198076.25	1
1	9-1-2013 16:30	9-1-2013 15:30	9-1-2013	36	15.5	364370.2656	2198082.75	1
1	9-1-2013 17:00	9-1-2013 16:00	9-1-2013	36	16	364382.2188	2198067.75	1
1	9-1-2013 17:30	9-1-2013 16:30	9-1-2013	36	16.5	364715.375	2197850.25	1
1	9-1-2013 18:00	9-1-2013 17:00	9-1-2013	36	17	364760.6875	2197859.25	1
1	9-1-2013 18:30	9-1-2013 17:30	9-1-2013	36	17.5	364770.5313	2197888.25	1
1	9-1-2013 19:00	9-1-2013 18:00	9-1-2013	36	18	364763.0938	2197905.25	1
1	9-1-2013 19:30	9-1-2013 18:30	9-1-2013	36	18.5	364699.375	2197953	1
1	9-1-2013 20:00	9-1-2013 19:00	9-1-2013	36	19	364933.125	2197882.75	1
1	9-1-2013 20:30	9-1-2013 19:30	9-1-2013	36	19.5	364765.4688	2197835.25	1
1	9-1-2013 21:00	9-1-2013 20:00	9-1-2013	36	20	364455.1875	2197536	1
1	9-1-2013 21:30	9-1-2013 20:30	9-1-2013	36	20.5	361656.8125	2194334.5	7
1	10-1-2013 03:00	10-1-2013 02:00	10-1-2013	35	2	361099.5	2193412.5	7
1	10-1-2013 03:30	10-1-2013 02:30	10-1-2013	35	2.5	361087.5	2193412.5	7
1	10-1-2013 04:00	10-1-2013 03:00	10-1-2013	35	3	361379.5938	2194135.25	7
1	10-1-2013 04:30	10-1-2013 03:30	10-1-2013	35	3.5	361615.125	2194070	7
1	10-1-2013 05:00	10-1-2013 04:00	10-1-2013	35	4	361871.5313	2194608.75	7
1	10-1-2013 05:30	10-1-2013 04:30	10-1-2013	35	4.5	361876.6563	2194564	7
1	10-1-2013 06:00	10-1-2013 05:00	10-1-2013	35	5	361947.5	2194790.875	7
1	10-1-2013 06:30	10-1-2013 05:30	10-1-2013	35	5.5	362119.2188	2195168.5	7
1	10-1-2013 08:00	10-1-2013 07:00	10-1-2013	35	7	364877.4688	2197636.75	1
1	10-1-2013 08:30	10-1-2013 07:30	10-1-2013	35	7.5	364887.3125	2197917	1
1	10-1-2013 09:00	10-1-2013 08:00	10-1-2013	35	8	364786.5313	2197914.25	1
1	10-1-2013 09:30	10-1-2013 08:30	10-1-2013	35	8.5	364777.625	2197861.25	1
1	10-1-2013 10:00	10-1-2013 09:00	10-1-2013	35	9	364747	2197872.25	1
1	10-1-2013 10:30	10-1-2013 09:30	10-1-2013	35	9.5	364601.375	2197816.25	1
1	10-1-2013 11:00	10-1-2013 10:00	10-1-2013	35	10	364462.3438	2197643.25	1
1	10-1-2013 11:30	10-1-2013 10:30	10-1-2013	35	10.5	364404.2813	2197619.25	1
1	10-1-2013 12:00	10-1-2013 11:00	10-1-2013	35	11	364360.625	2197619.75	1
1	10-1-2013 12:30	10-1-2013 11:30	10-1-2013	35	11.5	364401.9375	2197761	1
1	10-1-2013 13:00	10-1-2013 12:00	10-1-2013	35	12	364401.8125	2197759.75	1
1	10-1-2013 13:30	10-1-2013 12:30	10-1-2013	35	12.5	364398.8125	2197753.5	1
1	10-1-2013 14:00	10-1-2013 13:00	10-1-2013	35	13	364400.2813	2197755.75	1
1	10-1-2013 14:30	10-1-2013 13:30	10-1-2013	35	13.5	364346	2197740	1
1	10-1-2013 15:00	10-1-2013 14:00	10-1-2013	35	14	364394.2813	2197671.25	1
1	10-1-2013 15:30	10-1-2013 14:30	10-1-2013	35	14.5	364400.0625	2197595.75	1
1	10-1-2013 16:00	10-1-2013 15:00	10-1-2013	35	15	364384.7188	2197590.25	1
1	10-1-2013 16:30	10-1-2013 15:30	10-1-2013	35	15.5	364391.6875	2197557	1
1	10-1-2013 17:00	10-1-2013 16:00	10-1-2013	35	16	364338.6875	2198075.25	1
1	10-1-2013 17:30	10-1-2013 16:30	10-1-2013	35	16.5	364359.4063	2198082.5	1
1	10-1-2013 18:00	10-1-2013 17:00	10-1-2013	35	17	364381.8594	2198060.5	1
1	10-1-2013 18:30	10-1-2013 17:30	10-1-2013	35	17.5	364661.2188	2197953.25	1
1	10-1-2013 19:00	10-1-2013 18:00	10-1-2013	35	18	364697.9375	2197917.5	1
1	10-1-2013 19:30	10-1-2013 18:30	10-1-2013	35	18.5	364706.5	2197888.25	1
1	10-1-2013 20:00	10-1-2013 19:00	10-1-2013	35	19	364737.7188	2197814	1
1	10-1-2013 20:30	10-1-2013 19:30	10-1-2013	35	19.5	364798.9688	2197780	1
1	10-1-2013 21:00	10-1-2013 20:00	10-1-2013	35	20	364924.8125	2197505.5	1
